Ambiente Construido,Ciencias Sociales,Estudios Creativos,Negocios,Salud,Innovación y transformación,Computación y Tecnologías de Infromación,Bioingeniería y Procesos Químicos,Ciencias aplicadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razonamiento basado en matemáticas,Introducción a las ciencias sociales,Metodologías del pensamiento creativo,Análisis financiero,Sistemas musculoesquelético,Pensamiento computacional para ingeniería,Pensamiento computacional para ingeniería,Pensamiento computacional para ingeniería,Pensamiento computacional para ingeniería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Análisis químico del ambiente y de los materiales de construcción,Pensamiento matemático I,Cultura visual y sonora,Economía empresarial,Sistema digestivo,Fundamentación de la estructura y transformación de la materia,Fundamentación de la estructura y transformación de la materia,Fundamentación de la estructura y transformación de la materia,Fundamentación de la estructura y transformación de la materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploración en el hábitat: De la escala del elemento al territorio,Transformación del México Contemporaneo,Imersión y experimentación creativa,El rol de los negocios en la sociedad,Bases de la salud,Modelación de la ingeniería y ciencias,Modelación de la ingeniería y ciencias,Modelación de la ingeniería y ciencias,Modelación de la ingeniería y ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelación de la física en el ambiente construido: Estática,Desafíos Globales,Técincas y discursos fotográficos,Decisiones financieras,Aporte y consumo de oxígeno,Modelación matemática fundamental,Modelación matemática fundamental,Pensamiento computacional para ingeniería,Pensamiento computacional para ingeniería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelación de la física en el ambiente construido: Dinámica,Filosofía política para los dilemas contemporáneos,Metodologías de investigación de factores humanos,Programación para negocios,Control de la energía,Modelación del movimiento en ingeniería,Modelación computacional del movimiento,Modelación matemática fundamental,Modelación matemática fundamental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolución de problemas con lógica computacional,Principios de programación para las ciencias sociales,Semiótica y narratologías contemporáneas,Globalización de los negocios,Metabolismo y energía,"Analisis de la estructura, propiedades y transformación de la materia",Pensamiento computacional orientado a objetos,Modelación del movimiento en bioingeniería y procesos químicos,Modelación del movimiento en ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentos de geología aplicada al ambiente construido,Microeconomía,Imaginarios culturales de méxico,Razonamiento Matemático,Genética humana,Aplicación de las leyes de conservación en sistemas ingenieriles,Modelación computacional aplicando leyes de conservación,Análisis de la estructura y transformación de la materia,Análisis de la estructura y propiedades de la materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evaluación del impacto ambiental de proyectos territoriales,Pensamiento Matemático II,Representación formal del espacio,Dirección de los negocios,Sistema endócrino,Modelación matematica intermedia,Modelación matematica intermedia,Aplicación de las leyes de conservación en ingeniería de procesos,Modelación matematica fundamental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelación y representación gráfica de un edificio,Métodos cuantitativos I,"Estructuras simbólicas en la imagen, la literatura y la música",Estrategia y talento,Mecanismos celulares y moleculares,Experimentación fisica y pensamiento estadístico,Experimentación fisica y pensamiento estadístico,Modelación matemática intermedia,Aplicación de las leyes de conservación en ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplicación de métodos numéricos al ambiente construido,Macroeconomía,Narrativa audiovisual,Innovación de los modelos de negocios,Embriología,Aplicación de la temodinámica en sistemas ingenieriles,Modelación de la ingenieria con matemática computacional,Experimentación física y pensamiento estadístico,Modelación matematica intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Análisis de fenómenos naturales y sociales con probabilidad y estadística,Introducción al derecho,,Procesos de gestión de talento,Reproducción humana,Experimentación química y pensamiento estadístico fundamental,Análisis de biología computacional,Aplicación de la temodinámica en ingeniería de procesos,Experimentación química y pensamiento estadístico fundamental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelación y representación gráfica de tu campus con topografía,Herramientas tecnológicas para las ciencias sociales,,Ideación y prototipado,Ciclo de vida: concepción y embarazo,Análisis de sistemas eléctricos en sistemas ingenieriles,Modelación computacional de sistemas eléctricos,Experimentación química y pensamiento estadístico fundamental,Análisis de sistemas elécticos en ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelación y representación gráfica de tu entorno con geomática,Emprendimiento y teconología para la transformación de méxico,,Pensamiento estadístico,Crecimiento y desarrollo,Modelación matricial,Programación orientada a objetos,Análisis de sistemas eléctricos en ingeniería de procesos,Modelación matricial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Comunicación que inspira,Desarrollo emocional y conductal,Análisis estadístico,Análisis estadístico,Análisis de la transformación de la materia en procesos químicos,Análisis estadístico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Descubrimientos del mercado para el desarrollo de estrategias,Ciclo de vida: infancia y adolesencia,Análisis de sistemas electromagnéticos en sistemas ingenieriles,Modelación computacional de sistemas electromagnéticos,Experimentación química y pensamiento estadístico intermedio,Análisis de sistemas electromagnéticos en ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Análisis para la toma de decisiones,Morfofisiología renal,,,Análisis de sistemas electromagnéticos en ingeniería de procesos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legalidad y negocios responsables,Sistema Nervioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dirección financiera,Ciclo de vida: edad adulta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,